BASIN,LOCATION,RIVMILE,SITE_ID,LATITUDE,LONGITUDE,NAME,DESCRIPT,WQ_STANDARD,PWL_ID,NED10_Elevation
13,CASP,1.7,13-CASP-1.7,41.63222,-73.92694,Casper Creek,20m above Camelot Rd bridge,C,1301-0195,13.07567024
6,CATA,1.7,06-CATA-1.7,42.14167,-76.29472,Catatonk Creek,30 m downstream of Glen Mary Drive bridge,C,0603-0031,254.1295013
13,CATS,6.2,13-CATS-6.2,42.25639,-73.90472,Catskill Creek,50 m above Rt. 23B bridge,B,1309-0004,38.52732086
7,CAYG,1.1,07-CAYG-1.1,42.41606,-76.52839,Cayuga Lake Inlet,200 m below Rte 13,CT,0705-0059,120.9977036
6,CAYU,2.1,06-CAYU-2.1,42.00389,-76.52361,Cayuta Creek,100 m above Broad St. bridge,B,0603-0022,242.4486847
6,CAYU,8.5,06-CAYU-8.5,42.115445,-76.547027,Cayuta Creek,"stream and tribs, from Reniff to Van Etten",B,0603-0064,
5,CBRO,1.8,05-CBRO-1.8,42.06369,-76.78584,Coldbrook Creek,Maple Ave,C,0501-0027,255.8582153
5,CDEA,1.8,05-CDEA-1.8,42.33567,-77.68267,Canacadea Creek,100 m above Rt. 21 bridge @gaging station,C,0503-0008,361.6051025
6,CHAS,0.7,06-CHAS-0.7,42.66092879,-74.96204898,Chase Creek,"total length of select tribs, Colliers to Cooperstown",C,0601-0194,
5,CHEM,5.4,05-CHEM-5.4,42.00278,-76.635,Chemung River,10 m below Rt. 427  bridge,A,0501-0014,238.4164886
5,CHEM,15.7,05-CHEM-15.7,42.05833,-76.76056,Chemung River,500 m above power lines crossing river,C,0501-0015,251.3209991
5,CHEM,33.8,05-CHEM-33.8,42.12615,-77.02605,Chemung River,off River Rd.; dirt road to flood control levee,C,0501-0017,272.0617371
13,CLAV,0.5,13-CLAV-0.5,42.31139,-73.74306,Claverack Creek,100 m above Co. Rt. 25 bridge,C,1310-0047,12.33803082
13,CLDS,1.3,13-CLDS-1.3,41.89556,-73.70583,Cold Spring Creek,100m below Homan Rd,B(TS),1305-0011,120.1301498
10,CLIF,0.1,10-CLIF-0.1,44.28514535,-73.78891463,Nichols Brook,stream and selected tribs fr Upper Jay to Keene Valley,C(T),1004-0071,
10,CMIL,3.3,10-CMIL-3.3,43.722127,-73.418303,Mill Brook,At Lake Rd,C(T),1005-0024,78.97343445
13,CNOP_T,0.1,13-CNOP_T-0.1,41.37135,-73.87417,Unnamed Tributary  to  Canopus Creek,"300 m off Horton Hollow Rd, other side of small wetland complex",C,1301-0141,72.09185791
13,COEY,0.3,13-COEY-0.3,42.4775,-73.79444,Coeymans Creek,200 m above Route 144 bridge,C(TS),1301-0095,24.33210754
5,COHO,1.4,05-COHO-1.4,42.16751,-77.10477,Cohocton River,"Canada Rd., Kinsella Pk, behind Cinderella softbal",C,0502-0010,284.7779846
5,COHO,5.9,05-COHO-5.9,42.20678,-77.1642,Cohocton River,"30 m above Co. Rt. 4, Curtis Rd. bridge",C,0502-0010,297.0658264
5,COHO,7.4,05-COHO-7.4,42.223251,-77.173208,Cohocton River,"stream and selected tribs, from mouth to Savona",C,0502-0010,
5,COHO,8.9,05-COHO-8.9,42.230494,-77.197879,Cohocton River,50 m downstream of Route 333,C,0502-0010,306.9316711
5,COHO,11.1,05-COHO-11.1,42.25248346,-77.21677875,Cohocton River,"stream and selected tribs, from mouth to Savona",C,0502-0010,
5,COHO,13.5,05-COHO-13.5,42.28978,-77.22628,Cohocton River,100m above Co Rt 12 bridge,C,0502-0017,317.67099
5,COHO,17.3,05-COHO-17.3,42.3124,-77.28228,Cohocton River,100 m above Rt. 15 bridge,C,0502-0017,328.1298828
5,COHO,17.3,05-COHO-17.3,42.3124,-77.28228,Cohocton River,100 m above Rt. 15 bridge,C,0502-0017,328.1298828
5,COHO,23.6,05-COHO-23.6,42.36982,-77.36546,Cohocton River,50m below Rt 415 bridge,CT,0502-0003,344.4403076
5,COHO,33.6,05-COHO-33.6,42.46141,-77.4724,Cohocton River,3 m below Wentworth Rd. bridge,CT,0502-0003,377.7627869
5,COHO,37.2,05-COHO-37.2,42.49526,-77.50322,Cohocton River,100 m above Larrowe Mills Rd. bridge,CT,0502-0003,387.0223389
5,COHO,50.9,05-COHO-50.9,42.59906,-77.5289,Cohocton River,20m downstream of farm rd crossing off of Tabors Corner Rd.,C(TS),0502-0018,462.4283752
17,CONQ,1.4,17-CONQ-1.4,40.76306,-73.15167,Connetquot Brook,below hatchery in Connetquot State Park,B(TS),1701-0095,2.920835257
5,COON,0.7,05-COON-0.7,42.29123,-77.04916,Coon Hollow Stream,10 m above Hornby Rd bridge to just under bridge,C,0502-0019,380.0226135
6,CORL,0.3,06-CORL-0.3,42.20574,-75.53603,Cornell Creek,30m upstream from CR 41 bridge.,CT,0601-0130,298.5718994
6,CRKL,0.4,06-CRKL-0.4,42.77661141,-76.15469171,West Branch Tiough River and minor tribs,entire stream and selected tribs,C,0602-0060,
13,CROI,2.3,13-CROI-2.3,42.44618,-73.80679,Hannacrois Creek,100 m downstream of New Baltimore Rd. bridge,C(T),1301-0230,30.31884575
13,CROI,16.2,13-CROI-16.2,42.49686,-73.9792,Hannacrois Creek,20m downstream of the Rte 32 bridge,A(TS),1301-0231,217.535614
8,CRYS_T11,1.1,08-CRYS_T11-1.1,43.816071,-75.305744,Unnamed Tributary to Crystal Creek,ADK Park Rd.,C,0801-0315,360.0986023
17,CSHA,1.9,17-CSHA-1.9,40.841467,-73.455218,Unnamed Tributary to Cold Spring Harbor,Harbor Rd;  north of Stillwell Lane; Stream is 25m west of road,C(T),1702-0156,19.03081322
5,CUTH,0.6,05-CUTH-0.6,42.13489,-76.92789,Cuthrie Run,"Main St, CR 64",C,0501-0044,271.035614
10,DART,0.1,10-DART-0.1,44.25625227,-73.79383366,Dart Brook,stream and selected tribs fr Upper Jay to Keene Valley,AA(T),1004-0071,
6,DDLY_T6,1,06-DDLY_T6-1,42.37376,-76.12191,Unnamed Tributary to Dudley Creek,Hike upstream from Rt. 73 overpass.,C,0602-0037,379.7997131
8,DEER,8.3,08-DEER-8.3,43.89222,-75.67278,Deer River,50 m above Rt. 12 bridge,C,0801-0263,346.9957581
8,DEER,18.5,08-DEER-18.5,43.80312,-75.742883,Deer River,450 meters east off River Road at the intersection with Oneil Road,C,0801-0218,452.4017944
6,DILA,5.4,06-DILA-5.4,42.37722,-75.405,Unadilla River,"50 m above Rt. 40 bridge
250 m below bridge in 2013 due to high flow events",B,0601-0003,299.1231995
6,DILA_W_T6,1.8,06-DILA_W_T6-1.8,42.90592663,-75.25339689,West Branch Unadilla River and tribs,entire stream and tribs,C(T),0601-0153,
13,DOOD,0.4,13-DOOD-0.4,41.30103,-73.98634,Doodletown Brook,30m above SR 9W bridge,SC / C,1301-0134,6.110578537
13,DOWE,1.9,13-DOWE-1.9,42.5775,-73.8137,Dowers Kill,at Elm Avenue E,C,1301-0239,39.52064514
5,DRUN,3,05-DRUN-3,42.244,-77.101,Dry Run,Dry Run Rd just up from intersection with Duran rd.,C(TS),0502-0020,361.9489441
6,DRYT,1.4,06-DRYT-1.4,42.59942789,-76.20369712,Dry Creek,entire stream and tribs,C(T),0602-0062,
12,DUAN_T1,0.1,12-DUAN_T1-0.1,42.74628213,-74.10370417,"Normans Kill, Upper, and tribs","stream and tribs, above Pine Grove",B,1311-0005,
11,DURG,0.2,11-DURG-0.2,43.9398,-73.9536,Durgin Brook,Trib to Boreas R; trail to site is halfway btwn pulloff after bridge over Boreas River & welcome sign to North Hudson (pallet at start of trail),NA,1104-0261,527.9210815
13,DWAR,2,13-DWAR-2,41.62444,-74.19945,Dwaar Kill,10m above Bates Rd bridge,C,1306-0062,80.21891785
8,EAGL,1,08-EAGL-1,43.77272,-74.82064,Eagle Creek,"Downstream of Big Moose Creek bridge, @ mouth of culvert",BT,0801-0374,524.6451416
13,EBCR,16.3,13-EBCR-16.3,41.47769,-73.57745,East Branch Croton River,below rte 22 and confluence with small trib,C(T),1302-0057,129.8864899
6,EDDY,3.6,06-EDDY-3.6,42.41791,-75.584178,Eddy Brook,entire stream and tribs,C,0602-0143,
8,EDIK,3.7,08-EDIK-3.7,43.73244,-75.67106,Edick Creek,"5 m below CR 28, Flat Rock Rd",CT,0801-0269,559.2532959
13,EIGT,0.6,13-EIGT-0.6,42.4355,-74.12272,Eightmile Creek,CR 403,C(TS),1309-0030,243.096344
6,ELLS,1,06-ELLS-1,42.00833,-76.48083,Ellis Creek,30m upstream of Rte 17C bridge,C,0603-0023,241.531662
17,EMED,0.4,17-EMED-0.4,40.664825,-73.569848,East Meadow Brook,50 m south of Babylon Tpke; just below bridge (next to entrance ramp for Meadowbrook State Pkwy),C(T),1701-0211,4.915076256
13,ESOP,4.4,13-ESOP-4.4,42.03028,-73.97583,Lower Esopus Creek,"off Rte 9W, 0.5 miles above Glasco Turnpike bridge",B,1307-0010,15.8764677
13,ESOP,16.1,13-ESOP-16.1,41.92889,-74.06611,Lower Esopus Creek,200 m below SR 29A bridge,B(T),1307-0003,47.48849487
13,ESOP,21.7,13-ESOP-21.7,41.87889,-74.145,Lower Esopus Creek,"100 m below CR 5, Hurley Mountain Rd.bridge",B(T),1307-0003,59.99433136
13,ESOP,28.7,13-ESOP-28.7,41.9269,-74.19798,Lower Esopus Creek,50 m downstream of covered bridge at Ashokan Camp property,B(T),1307-0003,101.5268173
13,ESOP,29.6,13-ESOP-29.6,41.93404,-74.20405,Lower Esopus Creek,"Immediately downstream (200 m) of Ashokan waste channel, below SR 28A bridge",B(T),1307-0003,113.7013626
6,FACT,3.2,06-FACT-3.2,42.66195,-76.20556,Factory Brook,100 m above Rt. 41 bridge,CTS,0602-0025,364.4599304
8,FELT,0.3,08-FELT-0.3,44.01917,-75.76139,Felts Mills Creek,50 m above Rte 3 bridge,CT,0801-0241,186.5513153
13,FISH,16.3,13-FISH-16.3,41.58778,-73.78972,Fishkill Creek,150 m below Augusta Dr. (CR 9) bridge,B(T),1304-0010,76.32582092
5,FIVM,1.2,05-FIVM-1.2,42.38849,-77.35784,Fivemile Creek,10 m below Hemlock Rd. bridge,C,0502-0033,350.9083862
5,FIVM,13,05-FIVM-13,42.51962,-77.27826,Fivemile Creek,30m below Co Rt 75 bridge,C,0502-0034,409.0389709
6,FIVS,2.2,06-FIVS-2.2,42.457877,-75.796493,Five Streams,"Skillman-Hoffman Rd , above bridge",C(T),0602-0137,377.0312805
17,FLAN_T,0.1,17-FLAN_T-0.1,40.903,-72.603, , ,C, ,
8,FSHC,0.8,08-FSHC-0.8,43.66833,-75.35333,Fish Creek,"Fish Creek Rd.,off Grieg Rd. at DEC fishing access",CTS,0801-0225,233.7699585
10,GCHZ,6.7,10-GCHZ-6.7,44.98694,-73.44945,Great Chazy River,50 m below Rt. 9 bridge,C,1002-0001,35.22276688
10,GCHZ,33.1,10-GCHZ-33.1,44.864381,-73.693774,Great Chazy River,stream and tribs from Miner Lake to Chazy Lake,C(T),1002-0018,
6,GEEB,2.2,06-GEEB-2.2,42.50917,-75.91732,Gee Brook,5m below Rtes 26/41 bridge,C,0602-0125,316.8327942
6,GENE,11.2,06-GENE-11.2,42.422402,-75.790287,Genegantslet Creek,"stream and tribs, from Smithville Flats to McDonough",C(T),0602-0137,
6,GENE,23,06-GENE-23,42.559585,-75.713318,Genegantslet Creek,CR 10,C(T),0602-0138,467.8531799
13,GILO,0.1,13-GILO-0.1,41.38987,-73.67697,Lake Gilead Outlet,at Rock Mill Rd.,A(TS),1302-0102,125.1709213
5,GLED,0.5,05-GLED-0.5,42.08022,-77.15833,Glendening Creek,off Presho School Rd,C,0503-0033,302.4248962
5,GLED_N,0.1,05-GLED_N-0.1,42.07956,-77.16467,North Branch Glendening Creek,5 m above CR 5 at Glendening Rd,C,0503-0034,308.1619568
5,GOFF,0.5,05-GOFF-0.5,42.38802,-77.41187,Goff Creek,20 m above Co. Rt. 70A bridge,CTS,0502-0013,362.5801392
5,GOLT,1.8,05-GOLT-1.8,42.08325,-76.75383,Goldsmith Creek,"CR 1, Jerusalem Hill Rd",C,0501-0024,293.4682007
10,GRAV,2.2,10-GRAV-2.2,44.89824269,-73.75644724,Graves Brook,entire stream and tribs,D,1002-0016,
6,GREA_W,1.1,06-GREA_W-1.1,42.588448,-75.406755,West Branch Great Brook,entire stream and tribs,C(T),0601-0051,
16,GREE,2.5,16-GREE-2.5,42.26139,-73.47056,Green River,10m below Rte 71 bridge,C(TS),1601-0032,285.0637817
17,GREN,0.4,17-GREN-0.4,40.73639,-73.09167,Green Creek,Brook St @bridge,C(T),1701-0096,1.905568242
7,GROU,1.5,07-GROU-1.5,42.74194,-76.26528,Grout Brook,Co Rte 101 @Sweeney Hill Rd bridge,AAT,0706-0001,298.1733398
10,GULB,0.1,10-GULB-0.1,44.25677222,-73.79242903,Jones Brook,stream and selected tribs fr Upper Jay to Keene Valley,AA(T),1004-0071,
10,GULB,0.6,10-GULB-0.6,44.25714,-73.782914,Jones Brook,stream and selected tribs fr Upper Jay to Keene Valley,AA(T),1004-0071,
13,GUNK,0.4,13-GUNK-0.4,41.68722,-74.17278,Shawangunk Kill,150 m below Co. Rt. 9 bridge,B,1306-0045,59.3716774
13,GUNK,37.7,13-GUNK-37.7,41.44134,-74.5298,Shawangunk Kill,"stream and tribs, from New Vernon to New Hope",B,1306-0047,
13,GUNK,40.3,13-GUNK-40.3,41.42199,-74.5607,Shawangunk Kill,"stream and tribs, above New Hope",A,1306-0048,
13,GUNK_T35,0.2,13-GUNK_T35-0.2,41.43961,-74.5389,Trib to Shawangunk Kill,"stream and tribs, from New Vernon to New Hope",B,1306-0047,
15,HACK_E,1.5,15-HACK_E-1.5,41.13114,-73.95028,East Branch Hackensack River,20 m upstream of Svahn Drive,C,1501-0030,45.60300446
6,HAIT,0.1,06-HAIT-0.1,42.66629862,-76.06582229,Trout Brook,stream and selected tribs from East Homer to Tripoli,C(T),0602-0132,
10,HALF_T2,4.3,10-HALF_T2-4.3,43.471629,-73.504537,"Halfway Creek, Lower, and tribs",stream and selected tribs from mouth to Tripoli,C(TS),1005-0013,
13,HAVI,2.3,13-HAVI-2.3,41.49445,-73.546118,Haviland Hollow Brook,20 m below Brimstone Rd. bridge,C(TS),1302-0057,139.7615051
6,HAWL,1.9,06-HAWL-1.9,42.655247,-75.6238,Hawley Brook,entire stream and tribs,C(T),0602-0150,
13,HLKS,1,13-HLKS-1,41.28611,-73.765,Hallocks Mill Brook,"Pinesbridge Rd; 100 m above bridge, below STP",A(T),1302-0049,108.4315414
5,HOFF,0.8,05-HOFF-0.8,42.09147,-76.82686,Hoffman Creek,100 m above Hoffman bridge; Fassett St dead end,C,0501-0037,265.8524475
10,HUDD,0.2,10-HUDD-0.2,43.53695,-73.66778,Huddle Brook,"20m above Rte 9, access through Melody Manor",AA-S,1006-0003,114.6817093
6,HUNC,1.5,06-HUNC-1.5,42.82639,-75.46944,Hunt Creek,"Above Hill Rd bridge, off CR 89",CT,0602-0051,411.8204346
13,HUNT,1.9,13-HUNT-1.9,41.25945,-73.84306,Hunter Brook,"Hunter Brook Rd., Mill Pond, 50 m above bridge",AA,1302-0047,72.41651154
13,IDNK,0.5,13-IDNK-0.5,41.83883,-73.9348,Indian Kill,"In Mills-Norrie State Park, at a road/trail crossing in non-tidal portion of kill.",C,1301-0197,1.156829357
8,INDY,4.6,08-INDY-4.6,43.73056,-75.36555,Independence River,20 m below Pine Grove Rd. bridge,CT,0801-0220,228.5439911
8,INDY,6.7,08-INDY-6.7,43.7472,-75.3344,Independence River,Donnattsburg Rd bridge,CT,0801-0220,300.7462769
7,JACB,1.9,07-JACB-1.9,42.683204,-77.051365,Jacobs Brook (trib to Keuka L outlet),Flat Street Bridge,D,0705-0020,244.7589874
6,JAKC,0.4,06-JAKC-0.4,42.24386,-76.63246,Jackson Creek,at SR 224 bridge.,C,0603-0068,324.7278137
5,JAKS,0.1,05-JAKS-0.1,42.17349,-76.73396,Jackson Creek,@SR 223 bridge,C,0501-0036,334.8882141
10,JONS,0.8,10-JONS-0.8,44.18977,-73.79871,Johns Brook,50m above Johns Brook Rd,AA(T),1004-0074,343.3368835
7,KDIG,10.4,07-KDIG-10.4,42.7867401,-76.8562746,Kendig Creek,At Secor Road bridge,C,0705-0024,199.1845551
7,KEUK,0.3,07-KEUK-0.3,42.68037,-76.95396,Keuka Lake Outlet,Kings Landing Rd,CT,0705-0020,136.5426331
7,KEUK,1.5,07-KEUK-1.5,42.67222,-76.96988,Keuka Lake Outlet,entire stream and tribs,C(T),0705-0020,
7,KEUK,3.4,07-KEUK-3.4,42.66698,-76.9947,Keuka Lake Outlet,entire stream and tribs,C(T),0705-0020,
7,KEUK,6.7,07-KEUK-6.7,42.6605,-77.04556,Keuka Lake Outlet,entire stream and tribs,C,0705-0020,
7,KEUK,7.3,07-KEUK-7.3,42.65793,-77.05575,Keuka Lake Outlet,entire stream and tribs,C,0705-0020,
7,KEUK_T3,1,07-KEUK_T3-1,42.65392,-76.98217,Keuka Lake Outlet and tribs,entire stream and tribs,D,0705-0020,
7,KEUK_T6,1,07-KEUK_T6-1,42.64813,-76.99986,Keuka Lake Outlet and tribs,entire stream and tribs,D,0705-0020,
13,KIND,0.2,13-KIND-0.2,42.31972,-73.74611,Kinderhook Creek,50 m below Van Buren Rd. and Rt. 25 intersection,C,1310-0021,4.812846184
13,KIND,39.4,13-KIND-39.4,42.53972,-73.39417,Kinderhook Creek,5 m below Presbyterian Hill Rd.,C(TS),1310-0022,255.3043518
13,KIND,42.8,13-KIND-42.8,42.53593,-73.34624,Kinderhook Creek,"off 43 on N Pease Rd, near MA border",C,1310-0022,287.9023743
15,KJSTP,001,15-KJSTP-001,41.333069,-74.15887,Trib to Ramapo River,"stream and tribs, above Newburg Jct",C,1501-0037,
13,KLEI,0.1,13-KLEI-0.1,41.76936,-74.09332,Kleine Kill,at Springtown Rd.,C,1306-0042,53.30760956
8,KLSY,0.1,08-KLSY-0.1,43.98944,-75.92416,Kelsey Creek,5 m above RR bridge at Rt. 12E,C,0801-0191,117.269989
7,KNDA,1.4,07-KNDA-1.4,42.7434193,-76.8953705,Kendaia Creek,At Route 96A bridge,C,0705-0073,178.1301117
13,KROM,1.1,13-KROM-1.1,42.70361,-73.71611,Kromma Kill,20 m upstream of Rt. 32 bridge,D,1301-0027,8.535185814
13,KRUM,2.5,13-KRUM-2.5,42.66833,-73.8275,Krum Kill,10 m below Russell Rd. bridge,C(T),1311-0010,55.31600189
17,KVKL_T26,0.1,17-KVKL_T26-0.1,40.64450147,-74.10602503, , ,SD / B, ,
13,LATT,5.7,13-LATT-5.7,41.65046,-74.00598,Lattintown Creek,off Gala Lane,C,1301-0193,137.9462738
11,LBALL,1,11-LBALL-1,42.93677759,-73.86154079,Ballston Lake,LAKE,A,1101-0036,
11,LBALL,2,11-LBALL-2,42.92403637,-73.86505513,Ballston Lake,LAKE,A,1101-0036,
11,LBALL,3,11-LBALL-3,42.91218714,-73.86957398,Ballston Lake,LAKE,A,1101-0036,
11,LBALL,4,11-LBALL-4,42.92503104,-73.86363152,Ballston Lake,LAKE,A,1101-0036,
11,LBALL,5,11-LBALL-5,42.85000969,-73.86476113,Ballston Lake,LAKE,A,1101-0036,
11,LBALL,6,11-LBALL-6,42.94740441,-73.85367827,Ballston Lake,LAKE,A,1101-0036,
