PCODE,cas_rn,Parameter.mes.EQUIS,Parameter.EQUIS,Parameter.Units.EQUIS,EQUIS_FRACTION,result_unit_EQUIS,Parameter.mes.EDD,result_unit_EDD,Parameter.mes.USGS,result_unit_USGS
620,14797-55-8,"Nitrogen, Nitrate (As N) ;(total,mg/l)","Nitrogen, Nitrate (As N)","(total,mg/l)",T,mg/l,"NITROGEN, NITRATE",mg/l,"Nitrate, wu",mg/l as N
630,,"Nitrogen, Nitrite + Nitrate ;(total,mg/l)","Nitrogen, Nitrite + Nitrate","(total,mg/l)",T,"total, mg/l",Nitrate+Nitrite as Nitrogen,mg/l,"NO3+NO2, wu",mg/l as N
630,,"Nitrate+Nitrite as Nitrogen ;(total,mg/l)",Nitrate+Nitrite as Nitrogen,"(total,mg/l)",T,"total, mg/l",Nitrate+Nitrite as Nitrogen,mg/l,"NO3+NO2, wu",mg/l as N
630,,"Nitrogen, Nitrate-Nitrite ;(,mg/l)","Nitrogen, Nitrate-Nitrite","(,mg/l)",U,"NA, mg/l","Nitrogen, Nitrate-Nitrite",,,
630,,"Nitrogen, Nitrate-Nitrite ;(total,mg/l)","Nitrogen, Nitrate-Nitrite","(total,mg/l)",T,"total, mg/l",,,,
615,14797-65-0,"Nitrogen, Nitrite ;(,mg/l)","Nitrogen, Nitrite","(,mg/l)",U,mg/l,"Nitrogen, Nitrite",mg/l,"Nitrite, wu",mg/l as N
615,14797-65-0,"NITROGEN, NITRITE ;(total,mg/l)","NITROGEN, NITRITE","(total,mg/l)",T,mg/l,"NITROGEN, NITRITE",mg/l,"Nitrite, wu",mg/l as N
615,14797-65-0,"Nitrogen, Nitrite ;(total,mg/l)","Nitrogen, Nitrite","(total,mg/l)",T,mg/l,"NITROGEN, NITRITE",mg/l,"Nitrite, wu",mg/l as N
,,"Orthophosphate as Phosphorus, Dissolved ;(dissolved,mg/l)","Orthophosphate as Phosphorus, Dissolved","(dissolved,mg/l)",D,"dissolved, mg/l",,,,
,,"p-Bromofluorobenzene ;(total,%)",p-Bromofluorobenzene,"(total,%)",T,%,,,,
400,PH,"pH ;(,ph units)",pH,"(,ph units)",U,pH units,pH,pH units,pH,std units
400,PH,"PH ;(total,pH units)",PH,"(total,pH units)",T,pH units,PH,pH units,pH,std units
400,PH,"pH ;(total,ph units)",pH,"(total,ph units)",T,pH units,PH,pH units,pH,std units
400,PH,"pH (Water) ;(total,ph units)",pH (Water),"(total,ph units)",T,pH units,pH (Water),pH units,pH,std units
,,"Phenolics, Total Recoverable ;(,mg/l)","Phenolics, Total Recoverable","(,mg/l)",U,"NA, mg/l",,,,
,,"Phenolics, Total Recoverable ;(total,mg/l)","Phenolics, Total Recoverable","(total,mg/l)",T,"total, mg/l",,,,
,,"PHENOLICS, TOTAL RECOVERABLE ;(total,mg/l)","PHENOLICS, TOTAL RECOVERABLE","(total,mg/l)",T,"total, mg/l",,,,
,,"Phosphate Ion ;(dissolved,mg/l)",Phosphate Ion,"(dissolved,mg/l)",D,"dissolved, mg/l",,,,
,,"Phosphate Ion ;(,mg/l)",Phosphate Ion,"(,mg/l)",U,"NA, mg/l",,,,
,,"Phosphate Ion ;(total,mg/l)",Phosphate Ion,"(total,mg/l)",T,"total, mg/l",,,,
,,"Phosphorus ;(,mg/l)",Phosphorus,"(,mg/l)",U,"NA, mg/l",,,,
52635,,"Phosphorus ;(total,mg/l)",Phosphorus,"(total,mg/l)",T,"total, mg/l","PHOSPHORUS, TOTAL (AS P)",mg/l,,
,,"Phosphorus, Dissolved Orthophosphate (As P) ;(dissolved,mg/l)","Phosphorus, Dissolved Orthophosphate (As P)","(dissolved,mg/l)",D,"dissolved, mg/l",,,,
,,"Phosphorus, Dissolved Orthophosphate (As P) ;(total,mg/l)","Phosphorus, Dissolved Orthophosphate (As P)","(total,mg/l)",T,"total, mg/l",,,,
52635,,"PHOSPHORUS, TOTAL (AS P) ;(total,mg/l)","PHOSPHORUS, TOTAL (AS P)","(total,mg/l)",T,"total, mg/l",Phosphorus,mg/l,,
52281,,"Potassium ;(total,mg/l)",Potassium,"(total,mg/l)",T,"total, mg/l",,,,
82034,,"Potassium ;(total,ug/l)",Potassium,"(total,ug/l)",T,ug/l,,,,
52301,93-72-1,"Silver ;(total,ug/l)",Silver,"(total,ug/l)",T,ug/l,Silver,ug/l,"Silver, wu",ug/l
52508,7440-23-5,"Sodium ;(total,mg/l)",Sodium,"(total,mg/l)",T,"total, mg/l",Sodium,,"Sodium, wu",ug/l
52290,7440-23-6,"Sodium ;(total,ug/l)",Sodium,"(total,ug/l)",T,ug/l,,,"Sodium, wu",mg/l
90096,,"Specific Conductance ;(dissolved,umhos/cm)",Specific Conductance,"(dissolved,umhos/cm)",D,umhos/cm,,,,
,,"Specific Conductance ;(,umhos/cm)",Specific Conductance,"(,umhos/cm)",U,umhos/cm,,,,
90095,,"SPECIFIC CONDUCTANCE ;(total,umhos/cm)",SPECIFIC CONDUCTANCE,"(total,umhos/cm)",T,umhos/cm,SPECIFIC CONDUCTANCE,,,
90095,,"Specific Conductance ;(total,umhos/cm)",Specific Conductance,"(total,umhos/cm)",T,umhos/cm,Specific Conductance,,,
946,14808-79-8,"SULFATE (AS SO4) ;(total,mg/l)",SULFATE (AS SO4),"(total,mg/l)",T,mg/l,SULFATE (AS SO4),,"Sulfate, wu",mg/l
946,14808-79-8,"Sulfate (As SO4) ;(total,mg/l)",Sulfate (As SO4),"(total,mg/l)",T,mg/l,Sulfate (As SO4),,"Sulfate, wu",mg/l
10,,"Temperature ;(,deg c)",Temperature,"(,deg c)",U,deg c,Temperature,,"Temperature, water",deg C
10,,"Temperature ;(total,deg c)",Temperature,"(total,deg c)",T,deg c,,,"Temperature, water",deg C
,,"Temperature of pH Alysis ;(total,deg c)",Temperature of pH Alysis,"(total,deg c)",T,deg c,Temperature of pH Alysis,deg c,,
,,"Tetrachloroethylene (PCE) ;(total,ug/l)",Tetrachloroethylene (PCE),"(total,ug/l)",T,ug/l,,,,
,,"Toluene-D8 ;(total,%)",Toluene-D8,"(total,%)",T,%,,,,
,,"Total Carbon ;(dissolved,mg/l)",Total Carbon,"(dissolved,mg/l)",D,"dissolved, mg/l",,,,
,,"Total Carbon ;(total,mg/l)",Total Carbon,"(total,mg/l)",T,"total, mg/l",,,,
TDS,,"Total Dissolved Solids (Residue, Filterable) ;(dissolved,mg/l)","Total Dissolved Solids (Residue, Filterable)","(dissolved,mg/l)",D,"dissolved, mg/l",,,,
TDS,,"Total Dissolved Solids (Residue, Filterable) ;(,mg/l)","Total Dissolved Solids (Residue, Filterable)","(,mg/l)",U,"NA, mg/l",,,,
TDS,,"Total Dissolved Solids (Residue, Filterable) ;(total,mg/l)","Total Dissolved Solids (Residue, Filterable)","(total,mg/l)",T,"total, mg/l",,,,
TDS,,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE) ;(total,mg/l)","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","(total,mg/l)",T,"total, mg/l","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",mg/l,,
,,"Total Organic Carbon ;(dissolved,mg/l)",Total Organic Carbon,"(dissolved,mg/l)",D,"dissolved, mg/l",,,,
,,"TOTAL ORGANIC CARBON ;(total,mg/l)",TOTAL ORGANIC CARBON,"(total,mg/l)",T,"total, mg/l",,,,
,,"Total Organic Carbon ;(total,mg/l)",Total Organic Carbon,"(total,mg/l)",T,"total, mg/l",,,,
,,"Total Solids ;(,mg/l)",Total Solids,"(,mg/l)",U,"NA, mg/l",,,,
,,"Total Solids ;(total,mg/l)",Total Solids,"(total,mg/l)",T,"total, mg/l",,,,
,,"TOTAL SOLIDS ;(total,mg/l)",TOTAL SOLIDS,"(total,mg/l)",T,"total, mg/l",,,,
,,"Total Suspended Solids ;(,mg/l)",Total Suspended Solids,"(,mg/l)",U,"NA, mg/l",,,,
,,"Total Suspended Solids ;(total,mg/l)",Total Suspended Solids,"(total,mg/l)",T,"total, mg/l",,,,
,,"Total Volatile Solids ;(,mg/l)",Total Volatile Solids,"(,mg/l)",U,"NA, mg/l",,,,
,,"Total Volatile Solids ;(total,mg/l)",Total Volatile Solids,"(total,mg/l)",T,"total, mg/l",,,,
,,"TOTAL VOLATILE SOLIDS ;(total,mg/l)",TOTAL VOLATILE SOLIDS,"(total,mg/l)",T,"total, mg/l",,,,
,,"Trichloroethylene ;(tCE) ;(total,ug/l)",Trichloroethylene,(tCE) ,U,ug/l,,,,
,,"Turbidity ;(,ntu)",Turbidity,"(,ntu)",U,ntu,TURBIDITY,ntu,,
,,"TURBIDITY ;(total,ntu)",TURBIDITY,"(total,ntu)",T,ntu,TURBIDITY,ntu,,
,,"Turbidity ;(total,ntu)",Turbidity,"(total,ntu)",T,ntu,TURBIDITY,ntu,,
,,"Vinyl Chloride ;(total,ug/l)",Vinyl Chloride,"(total,ug/l)",T,ug/l,,,,
1090,,"Zinc ;(dissolved,ug/l)",Zinc,"(dissolved,ug/l)",D,ug/l,,,"Zinc, wf",ug/l
52303,7440-66-6,"Zinc ;(total,ug/l)",Zinc,"(total,ug/l)",T,ug/l,Zinc,ug/l,"Zinc, wu",ug/l
